,Prediction,Actual
0,YES,YES
1,YES,YES
2,YES,YES
3,YES,YES
4,YES,YES
5,YES,NO
6,YES,YES
7,YES,YES
8,YES,NO
9,YES,YES
10,YES,YES
11,YES,YES
12,YES,NO
13,YES,NO
14,YES,YES
15,YES,YES
16,YES,NO
17,YES,NO
18,YES,NO
19,YES,NO
20,YES,YES
21,YES,YES
22,YES,YES
23,YES,NO
24,YES,YES
25,YES,YES
26,YES,NO
27,YES,NO
28,YES,YES
29,YES,YES
30,YES,YES
31,YES,NO
32,YES,NO
33,YES,NO
34,YES,YES
35,YES,YES
36,YES,YES
37,YES,YES
38,YES,YES
39,YES,NO
40,YES,YES
41,YES,YES
42,YES,YES
43,YES,NO
44,YES,YES
45,YES,NO
46,YES,YES
47,YES,NO
48,YES,NO
49,YES,YES
50,YES,YES
51,YES,NO
52,YES,YES
53,YES,YES
54,YES,YES
55,YES,YES
56,YES,NO
57,YES,YES
58,YES,YES
59,YES,YES
60,YES,YES
61,YES,NO
62,YES,YES
63,YES,YES
64,YES,YES
65,YES,YES
66,YES,YES
67,YES,YES
68,YES,YES
69,YES,NO
70,YES,NO
71,YES,NO
72,YES,NO
73,YES,YES
74,YES,YES
75,YES,YES
76,YES,YES
77,YES,YES
78,YES,NO
79,YES,YES
80,YES,YES
81,YES,YES
82,YES,YES
83,YES,NO
84,YES,YES
85,YES,YES
86,YES,YES
87,YES,YES
88,YES,NO
89,YES,YES
90,YES,NO
91,YES,YES
92,YES,NO
93,YES,YES
94,YES,YES
95,YES,YES
96,YES,YES
97,YES,YES
98,YES,YES
99,YES,YES
100,YES,YES
101,YES,YES
102,YES,YES
103,YES,NO
104,YES,YES
105,YES,NO
106,YES,NO
107,YES,YES
108,YES,NO
109,YES,YES
110,YES,YES
111,YES,YES
112,YES,YES
113,YES,YES
114,YES,YES
115,YES,YES
116,YES,YES
117,YES,YES
118,YES,YES
119,YES,YES
120,YES,YES
121,YES,YES
122,YES,YES
123,YES,YES
124,YES,NO
125,YES,NO
126,YES,NO
127,YES,NO
128,YES,YES
129,YES,YES
130,YES,YES
131,YES,YES
132,YES,YES
133,YES,NO
134,YES,NO
135,YES,YES
136,YES,YES
137,YES,YES
138,YES,YES
139,YES,NO
140,YES,YES
141,YES,NO
142,YES,NO
143,YES,NO
144,YES,NO
145,YES,YES
146,YES,YES
147,YES,NO
148,YES,NO
149,YES,NO
