,Prediction,Actual
0,YES,YES
1,YES,YES
2,YES,YES
3,YES,YES
4,YES,YES
5,YES,YES
6,YES,YES
7,YES,YES
8,YES,YES
9,YES,NO
10,YES,NO
11,YES,NO
12,YES,NO
13,YES,NO
14,YES,NO
15,YES,YES
16,YES,YES
17,YES,YES
18,YES,YES
19,YES,YES
20,YES,YES
21,YES,YES
22,YES,NO
23,YES,NO
24,YES,YES
25,YES,YES
26,YES,YES
27,YES,YES
28,YES,YES
29,YES,YES
30,YES,YES
31,YES,YES
32,YES,YES
33,YES,YES
34,YES,NO
35,YES,YES
36,YES,YES
37,YES,YES
38,YES,YES
39,YES,YES
40,YES,YES
41,YES,YES
42,YES,YES
43,YES,YES
44,YES,YES
45,YES,YES
46,YES,NO
47,YES,YES
48,YES,YES
49,YES,YES
50,YES,NO
51,YES,NO
52,YES,NO
53,YES,NO
54,NO,YES
55,YES,YES
56,YES,NO
57,YES,YES
58,YES,YES
59,YES,NO
60,YES,NO
61,YES,NO
62,YES,NO
63,YES,YES
64,YES,YES
65,YES,YES
66,YES,YES
67,YES,NO
68,YES,YES
69,YES,YES
70,YES,YES
71,YES,NO
72,YES,NO
73,YES,YES
74,YES,YES
75,YES,NO
76,YES,YES
77,YES,YES
78,YES,YES
79,YES,YES
80,YES,NO
81,YES,YES
82,YES,NO
83,YES,YES
84,YES,NO
85,YES,NO
86,YES,YES
87,YES,NO
88,YES,NO
89,YES,YES
90,YES,YES
91,YES,YES
92,NO,YES
93,YES,YES
94,YES,NO
95,YES,NO
96,YES,YES
97,YES,NO
98,YES,NO
99,YES,YES
100,YES,NO
101,YES,YES
102,NO,YES
103,YES,YES
104,YES,NO
105,YES,YES
106,YES,YES
107,YES,YES
108,YES,NO
109,YES,YES
110,YES,NO
111,YES,NO
112,YES,YES
113,YES,NO
114,YES,YES
115,YES,YES
116,YES,YES
117,YES,YES
118,YES,YES
119,YES,YES
120,YES,YES
121,YES,YES
122,YES,YES
123,YES,YES
124,YES,YES
125,YES,YES
126,YES,YES
127,YES,NO
128,YES,NO
129,YES,YES
130,YES,YES
131,YES,YES
132,YES,NO
133,NO,NO
134,YES,YES
135,YES,YES
136,YES,YES
137,YES,YES
138,YES,YES
139,YES,YES
140,YES,YES
141,YES,YES
142,YES,NO
143,YES,NO
144,YES,NO
145,NO,NO
146,YES,YES
147,YES,YES
148,YES,YES
149,YES,YES
